state,NumberKilled
Colorado,5562
Utah,5046
Georgia,3909
Indiana,3409
Oklahoma,2508
Hawaii,2456
Rhode Island,2395
North Dakota,2225
Maine,2179
Montana,2136
Alaska,1880
Texas,1824
North Carolina,1705
Massachusetts,1691
South Dakota,1610
Iowa,1608
Minnesota,1588
Washington,1459
Missouri,1176
New Mexico,1168
Arkansas,1094
Louisiana,1066
Oregon,941
Wyoming,862
West Virginia,853
New Hampshire,799
Connecticut,796
California,773
Kentucky,542
New York,495
Michigan,472
Mississippi,461
Florida,459
Pennsylvania,446
Delaware,341
Wisconsin,335
Vermont,282
Kansas,273
Arizona,267
Nevada,225
District of Columbia,217
Illinois,166
Nebraska,154
Maryland,112
Tennessee,90
New Jersey,88
Wyoming,73
Ohio,69
Idaho,63
South Carolina,63
Virginia,57
